"ime","plezalisce","ocena","dolzina"
Stara buža,Brač - Ložišća,5b,20 m
Skarabej,Brač - Ložišća,7a+,20 m
Vanka regule,Brač - Ložišća,7b,20 m
projekt,Brač - Ložišća,?,20 m
Giljotina,Brač - Ložišća,6b,19 m
No name,Brač - Ložišća,6c,19 m
Fragile & Solid,Brač - Ložišća,6c,20 m
S pogledom na morje,Brač - Ložišća,6a,20 m
Stivanski,Brač - Ložišća,6a+,20 m
Dajin,Brač - Ložišća,5c,20 m
Sveti Rok,Brač - Ložišća,6b,20 m
Brid,Brač - Nerežišća,4a,11 m
Nikotin Junkie,Brač - Nerežišća,7b,10 m
Hotel Šteka,Brač - Nerežišća,5c+,10 m
Dinozaver,Brač - Nerežišća,7a,11 m
Piece of Cake,Brač - Nerežišća,7c+,11 m
Ledena doba,Brač - Nerežišća,5b+,10 m
Kamena romanca,Brač - Nerežišća,6c,10 m
Poljubac,Brač - Nerežišća,6a+,11 m
Prasolino,Brač - Nerežišća,5c,9 m
Osa,Brač - Nerežišća,5c,9 m
Poskok,Brač - Nerežišća,6a,8 m
Paintball,Brač - Nerežišća,5b,8 m
Marin,Brač - Selca/Povlja,6b+,20 m
Lijeva ploća,Brač - Selca/Povlja,6a+/b,20 m
Ploća,Brač - Selca/Povlja,6a+,20 m
Desno od ploće,Brač - Selca/Povlja,6b+/c,20 m
Šljivkov,Brač - Selca/Povlja,6a,20 m
Projekt,Brač - Selca/Povlja,7c,20 m
Šefik,Brač - Selca/Povlja,7b,20 m
Vandin,Brač - Selca/Povlja,7a,20 m
Shiva,Brač - Smrka,6a,25 m
? (druga),Brač - Smrka,7a+,25 m
? (tretja),Brač - Smrka,7a+,25 m
? (četrta),Brač - Smrka,7b,25 m
San,Brač - Smrka,6a,25 m
A Brač adabra,Brač - Smrka,7a+,30 m
Croate qui peut,Brač - Smrka,7a+,30 m
Old man blues,Brač - Smrka,7a+,30 m
Gros Quick,Brač - Smrka,7b+,30 m
Space di Kuna,Brač - Smrka,7a,30 m
Clear Dark,Brač - Smrka,7a+,30 m
El Patator,Brač - Smrka,8a,30 m
A base in Brač,Brač - Smrka,7b+,30 m
Un 8 a 100 euros,Brač - Smrka,8b,40 m
Olive Holds,Brač - Smrka,8a+,30 m
I believe I can fly,Brač - Smrka,8a,30 m
The Ninosaure,Brač - Smrka,8a+/b,37 m
La bura dura,Brač - Smrka,8b+,40 m
Non de Zeus,Brač - Smrka,8c,40 m
Rendez-vous,Brač - Smrka,8a,50 m
Brač a gauche,Brač - Smrka,8a,50 m
Glagolitic line,Brač - Smrka,8a+,30 m
Tufa addict,Brač - Smrka,8b,30 m
Happiness therapy,Brač - Smrka,8a,30 m
Crabe power,Brač - Smrka,8a,30 m
Brač le bol,Brač - Smrka,7c+,30 m
Prends-moi la !,Brač - Smrka,8b,30 m
A Kuna Matata,Brač - Smrka,7c+,40 m
Carinthia line,Brač - Smrka,6c+,40 m
Er ciambrotto,Brela,6a,25 m
A Moro,Brela,5c,30 m
La Sberla,Brela,6a+,35 m
Polpastrili,Brela,5b,35 m
Bizi Hypo,Brela,5b+,15 m
Andrea,Brela,5c,25 m
Sabinaka,Brela,5a,25 m
Alles klar,Brela,4b,27 m
Krašuljak,Brela,5a,50 m
Se keine problem,Brela,4c,25 m
Via Antonia,Brela,4a (4a, 4a, 3a),50 m
Il marchese del grillo,Brela,5b,30 m
Bravo Koko,Brela,5b,30 m
Hilti,Brela,6a,70 m
Dodo,Brela,5a/a+,30 m
Elefantenhaut,Brela,6a,30 m
Via Claudia,Brela,4b,30 m
Elefantenbauch,Brela,4b+,30 m
Capitan Pampirula,Brela,6a (5c, 5c, 6a),90 m
Division bell,Brela,6a (5c, 5c, 6a),90 m
Thyimianriss,Brela,5c,30 m
Ribok,Brela,6a,30 m
Brač,Brela,6a+,55 m
Pfeilerharmonie,Brela,5c,37 m
Max,Brela,5c,20 m
Schütteldüss,Brela,5c,35 m
Hackerei,Brela,6a,25 m
Siniša,Brela,6b,35 m
Ein traum fur Ingrid,Brela,6a+,35 m
Susvid,Brela,6c,35 m
Graues meer,Brela,7a/a+,35 m
Rozario taxi,Brela,6a/a+,35 m
Zirbensteig,Brela,6a,40 m
Mafioso,Brela,6b,35 m
Jel ti doživljaj?,Brela,6c+,40 m
Clutch,Brela,7a,30 m
Se upat,Brela,6c+,40 m
Joshua tree,Brela,7a,40 m
Mugendance,Brela,6c+,40 m
Roter oktober,Brela,6c+,40 m
Biris pfusch,Brela,7a,40 m
Mega Sinta,Brela,6c+,40 m
Café Central,Brela,7a,40 m
Espresso,Brela,P,40 m
Silver Surfer,Brela,6c+,48 m
Mundlweg,Brela,6a,50 m
Abyss,Brela,6c+,50 m
Sea of dreams,Brela,6c+,53 m
Seven up,Brela,6a+,45 m
Schwertlilie,Brela,5c,40 m
Lost arrow,Brela,7a,23 m
Muratti,Brela,5c,35 m
Für Leguane,Brela,6c,35 m
Se gute, se schoene,Brela,6a,17 m
Camel trophy,Brela,5c,25 m
Se oben se untra,Brela,7c+,30 m
Nostromo,Brela,6c/c+,40 m
Graphic equalizer,Brela,6b,42 m
Aquaman,Brela,5b,42 m
Mexico platz,Brela,6a+,40 m
Leonardo,Brela,5b,40 m
L''Aurora,Brela,6a+,35 m
Standheizung,Brela,5c,12 m
Edeltraud ist sauerkraut,Brela,4b+,30 m
Wienerschnitzel,Brela,6b,30 m
Stipe ist er!,Brela,6c/c+,20 m
Hohlrippen,Brela,6a+,30 m
Se kleine problem,Brela,6a+,30 m
Vienna calling,Brela,6a+,30 m
Alles im Lot,Brela,6a+,25 m
Pelješac,Brela,5b,20 m
Turbo yugo,Brela,6c/c+,20 m
King size,Brela,6a+,20 m
No Ane,Brela,6b,18 m
Bio Tonne,Brela,4a,8 m
Reibungs formel,Brela,4a,6 m
Kamen,Brela,5b,8 m
Rolling stone,Brela,6a,8 m
Stone Love,Brela,6a+,8 m
Steinbeiber,Brela,4c,8 m
Goldfinger,Brseč,6b+,30 m
Octopussy,Brseč,6a+,35 m
Dr. No,Brseč,6a+,40 m
Casino Royale,Brseč,6b+,40 m
Moonraker,Brseč,6a+,32 m
The Ivy Plot,Brseč,6b+,25 m
Kitten in the need,Brseč,6c+,25 m
Wespennest,Brseč,6b+,30 m
Meister Horich,Brseč,5b (5b, 5b),45 m
Diver in Danger,Brseč,7a (6b, 7a),50 m
Flying Dutchman,Brseč,6a+ (5c+, 6a+),55 m
Crimson Hawk,Brseč,6c+ (6c+, 6c),50 m
III,Brseč,6c,25 m
Wanderratz,Brseč,5c+ (5a, 5c+),50 m
Ratroof,Brseč,6b+,20 m
Once upon a time,Brseč,6a,50 m
Feige/Sau,Brseč,6c+ (4c, 6c+),50 m
Hope,Brseč,6c,50 m
Mullmania,Brseč,6c,30 m
Last Sugar,Brseč,6c (6a+, 6c),55 m
White Pepper,Brseč,6c+ (6a+, 6c+),60 m
Salty Dog,Brseč,6a (5b, 6a, 5c),60 m
Medusa,Brseč,6a,55 m
Old Friendship,Brseč,6b,50 m
Ship by Šip,Brseč,6b+,50 m
Renata,Brseč,6a+,50 m
Malvasia,Brseč,5c,45 m
Polyphem,Brseč,6b,35 m
Outis (Nobody),Brseč,5c+,15 m
Aiolos,Brseč,6b+,35 m
Essig Gurkel,Brseč,5c,20 m
?,Brseč,6b,20 m
Viper (1.d),Brseč,6c+,30 m
Viper,Brseč,6c+ (6c+, 6a+),45 m
Viper left,Brseč,6c+ (6c+, 6b+),45 m
Hammer King,Brseč,7c,25 m
Anima,Brseč,7b+,20 m
Schüssler,Brseč,7c+,28 m
Schüssler extended,Brseč,8b,45 m
Miko Borič (1.d),Brseč,6c,30 m
Miko Borič,Brseč,7b,45 m
Mathilde (1.d),Brseč,6b+,17 m
Mathilde (1.d+2.d),Brseč,7a,30 m
Mathilde,Brseč,7c+ (6b+, 7a, 7c+),45 m
Cut (1.d),Brseč,6a,15 m
Cut (1.d+2.d),Brseč,7a+,30 m
Cut,Brseč,7b (6a, 7a+, 7b),45 m
Made in Austria,Brseč,7b+,11 m
Lieblingsmensch Irma,Brseč,7b+,30 m
Izgubljeni dječaci (1.d),Brseč,6c+,30 m
Izgubljeni dječaci,Brseč,7b (6c+, 7b),45 m
Jarilo (1.d),Brseč,6b+,30 m
Jarilo,Brseč,7b,45 m
Fishermans friend (1.d),Brseč,6c+,35 m
No name,Brseč,7b,50 m
Fishermans friend,Brseč,7a,50 m
Projekt,Brseč,P,40 m
Wario land,Brseč,7c,40 m
Happy end,Brseč,8a,45 m
Kaotiko,Brseč,6b,20 m
Point break (1.d),Brseč,6b+,17 m
Point break,Brseč,7b (6b+, 7b),40 m
Bodhi,Brseč,7b+/c,38 m
Home run,Brseč,6c,35 m
Samoborke,Buzetski kanjon,7a,15 m
Befana,Buzetski kanjon,7b+/c,18 m
Befana Magica,Buzetski kanjon,8a,28 m
Štriga,Buzetski kanjon,7b/b+,28 m
Giant Yass,Buzetski kanjon,7c+,38 m
Neox,Buzetski kanjon,8a,28 m
Favorit,Buzetski kanjon,7c,30 m
Frenkie Goes To Hollywood,Buzetski kanjon,7c,35 m
Galaksija,Buzetski kanjon,8a,35 m
Vaška mafija,Buzetski kanjon,8a+,35 m
Chica latina,Buzetski kanjon,8b+,35 m
Lap dance,Buzetski kanjon,8b,35 m
Šefka (1.pitch),Buzetski kanjon,7a+,12 m
Šefka,Buzetski kanjon,8a,35 m
Petra,Buzetski kanjon,7a+,10 m
Fiumanka,Buzetski kanjon,7b,32 m
Ljetna sauna,Buzetski kanjon,7b,32 m
Night club,Buzetski kanjon,7a+,32 m
Buzečanke,Buzetski kanjon,6c+/7a,32 m
Joker (1.pitch),Buzetski kanjon,6b+,15 m
Joker,Buzetski kanjon,7c,35 m
Intermezzo,Buzetski kanjon,6b,16 m
Mailita,Buzetski kanjon,6b,18 m
Tnx A&D,Buzetski kanjon,7a,22 m
Životni ciklus,Buzetski kanjon,6c,24 m
Beach club Macumba,Buzetski kanjon,7b,24 m
Mateja,Buzetski kanjon,6b+/c,17 m
Izvor života,Buzetski kanjon,8a,30 m
Muška pizda,Buzetski kanjon,6c+/7a,20 m
Alita,Buzetski kanjon,7c+,25 m
Inglourious Basterds,Buzetski kanjon,8b/b+,25 m
Grinta,Buzetski kanjon,8c,25 m
Apokalipso,Buzetski kanjon,7b+/c,15 m
projekt #1,Buzetski kanjon,P,15 m
The king,Buzetski kanjon,7c/c+,20 m
Duh sa sekirom,Buzetski kanjon,6a+,15 m
Darkwood,Buzetski kanjon,6c,16 m
Chico,Buzetski kanjon,6a+/b,14 m
Zagor,Buzetski kanjon,6c,20 m
Činček,Buzetski kanjon,6b,18 m
Felipe Cayetano Lopez Martinez y Gonzale,Buzetski kanjon,6b+,18 m
Blek Stena,Buzetski kanjon,6a+,18 m
Parada,Buzetski kanjon,6b+/c,10 m
Harder than your hausband,Buzetski kanjon,7c,20 m
Cedo ma non mollo,Buzetski kanjon,7c/c+,18 m
Analthinger,Buzetski kanjon,7b+,16 m
L' Edipo,Buzetski kanjon,7b/b+,16 m
Stone love,Buzetski kanjon,8a,14 m
projetk #2,Buzetski kanjon,P,14 m
Budi ponosan,Buzetski kanjon,7a+,12 m
Teške boje,Buzetski kanjon,7a+,14 m
I'm not a carpet muncher,Buzetski kanjon,8a,12 m
Ape Maja,Buzetski kanjon,6c,10 m
Easier than your wife,Buzetski kanjon,6a+,10 m
Tečaoniška,Buzetski kanjon,5a,10 m
Odimljen Jošt,Buzetski kanjon,5b,10 m
Ogrevalna,Buzetski kanjon,5b,10 m
Blank space,Buzetski kanjon,7b,19 m
Dvogibka,Buzetski kanjon,7a,25 m
Brez veze,Buzetski kanjon,6b,25 m
Valentina,Buzetski kanjon,6b+,27 m
L'oracolo direkt,Buzetski kanjon,6a,27 m
Tolmun,Buzetski kanjon,6a,27 m
Mrvica,Buzetski kanjon,6c+,10 m
Radioactive,Buzetski kanjon,8a+,12 m
Ne cvikaj,Buzetski kanjon,7b,12 m
Mrle,Buzetski kanjon,7b/b+,12 m
Đoser,Buzetski kanjon,6c+,13 m
Gori Ussi,Buzetski kanjon,6b,13 m
Vrhi Ćićarije,Buzetski kanjon,6a+,13 m
Nebo je žuto a sunce je blu,Buzetski kanjon,6b+,13 m
Sedan dan,Buzetski kanjon,6b+/c,14 m
Pakleni vozači,Buzetski kanjon,6c+,14 m
The boys are back,Buzetski kanjon,7a,14 m
Black snake,Buzetski kanjon,7b+,14 m
Never mind,Buzetski kanjon,6c,15 m
Over the rainbow,Buzetski kanjon,7a+,17 m
Deep as Fukamushi,Buzetski kanjon,7b,18 m
Terra magica,Buzetski kanjon,7b+,18 m
Light as Asamushi,Buzetski kanjon,7b,18 m
Šajeta,Buzetski kanjon,7b/b+,18 m
Just do it,Buzetski kanjon,7b,18 m
Eternal flame,Buzetski kanjon,7a+,18 m
Ronnie James Dio,Buzetski kanjon,7b,18 m
Ronnie James Dio extended,Buzetski kanjon,7c,19 m
Kameno srce,Buzetski kanjon,8a+,18 m
Diablo,Buzetski kanjon,7b+/c,15 m
Il mago direkt,Buzetski kanjon,6a,25 m
Koke iz Loke,Buzetski kanjon,6a,25 m
The invisible bird,Buzetski kanjon,6c+,27 m
Radio Gu Gu,Buzetski kanjon,6b+/c,28 m
F*ck Slo, go Cro!,Buzetski kanjon,6b+/c,28 m
Koperniko direkt,Buzetski kanjon,6a+,28 m
Vamo tamo,Buzetski kanjon,6b+,28 m
Sovarjenje,Buzetski kanjon,6c+,28 m
Common sense is not so common,Buzetski kanjon,6c+,39 m
Lenina,Buzetski kanjon,6b/b+,28 m
Sidarta forever,Buzetski kanjon,6c+,40 m
Bandiera rossa,Buzetski kanjon,6c,20 m
Elio Pisak, ruke stisak,Buzetski kanjon,6b+,20 m
El Desperado,Buzetski kanjon,7a/a+,20 m
Ništa od Jessy,Buzetski kanjon,7b/b+,25 m
Too late,Buzetski kanjon,8a,28 m
Malik,Buzetski kanjon,7c+,28 m
La petarda,Buzetski kanjon,8a+,30 m
Mara,Buzetski kanjon,7c,30 m
Skitalica,Buzetski kanjon,7c+,30 m
Mirna,Buzetski kanjon,8a+,30 m
Bleach,Buzetski kanjon,8a+,31 m
Nevermind,Buzetski kanjon,7c+,32 m
Non habemus Papam,Buzetski kanjon,7b+,30 m
Avanti forza,Buzetski kanjon,6b+,20 m
Leta su pameti ni,Buzetski kanjon,6b+,20 m
Avanti popolo,Buzetski kanjon,6a,35 m
Bolting weekend,Buzetski kanjon,6a,33 m
Silent is golden,Buzetski kanjon,5c+/6a,32 m
Pasareta,Buzetski kanjon,6a,33 m
Bruna,Čepić,6b,15 m
Extension,Čepić,6a,15 m
Zero,Čepić,6a/a+,11 m
First,Čepić,5c,11 m
Il bruco,Čepić,6a/a+,12 m
Butterfly,Čepić,6c/c+,12 m
Il calabrone,Čepić,6b,12 m
Gemby,Čepić,6b,10 m
Bugazza,Čepić,6a+,10 m
Made,Čepić,6b/b+,11 m
Right side,Čepić,5c+,11 m
Bon voyage,Čepić,6a,11 m
Il picchio,Čepić,5b+,11 m
The game,Čepić,7a,11 m
Peter Pan,Čepić,7b,14 m
Cambia cambia,Čepić,6a,8 m
Nga nga,Čepić,5c,9 m
Marina,Čepić,6b+,9 m
Spigolo,Čepić,5a+,9 m
Terra sommersa,Čepić,6b+,10 m
Turnica,Čepić,7a,10 m
Devellottati,Čepić,6c+,10 m
Issati,Čepić,4c+,10 m
Katmandu,Čepić,4c+,7 m
Ohio,Čepić,4a,8 m
La scimmia,Čepić,4a+/b,8 m
L' oca,Čepić,4a,8 m
Muschio,Čepić,5a/a+,9 m
Lichene,Čepić,5a+,11 m
Žaba,Čepić,6a+/b,15 m
Cracker,Čepić,6a/a+,15 m
Chicko miš,Čepić,5c/c+,14 m
Lambreta,Čepić,6a,7 m
Gigi migi,Čepić,6b,8 m
Škaramunčica,Čepić,5c,10 m
Mozak na paši,Čepić,5c,10 m
Highlands,Čepić,6a+,10 m
Terra dei buffoni,Čepić,6b/b+,12 m
Zeus,Čepić,6c,12 m
Holy diver,Čiritež,6a+,12 m
Jane,Čiritež,6b,12 m
I am on my way,Čiritež,6c,13 m
Always the sun,Čiritež,6c+,13 m
Heroes,Čiritež,6c+,13 m
Enter sandman,Čiritež,7b+,13 m
Mailo,Čiritež,7a,12 m
Nirvana,Čiritež,7a,12 m
10000 days,Čiritež,7c+/8a,12 m
Shotgun,Čiritež,7b,12 m
Stargazer,Čiritež,6c,12 m
Wish you were here,Čiritež,6c,14 m
Kill Bill,Čiritež,6c+,15 m
Dirty Deeds,Čiritež,7b+,15 m
Weltfrieden,Čiritež,7a,16 m
Fire,Čiritež,7b,12 m
Jambi,Čiritež,7a,11 m
Mendocino,Čiritež,6b+,12 m
On the road again,Čiritež,6b+,12 m
Easy Livin,Čiritež,6b+/c,11 m
Paranoid,Čiritež,6c+,11 m
?,Čiritež,5c,15 m
Rex,Čiritež,6c,15 m
Damask,Čiritež,7a+,14 m
Damask direkt,Čiritež,P,14 m
The time,Čiritež,8b+,12 m
Pelinkovac,Čiritež,8a,14 m
Export import,Čiritež,8a+,15 m
Nairobi,Čiritež,8a,15 m
Projekt 1,Čiritež,P,14 m
Projekt 2,Čiritež,P,15 m
RockNroč,Čiritež,7b,16 m
Tom & Jerry,Cres - Babina,4a,3 m
Štrumfeta,Cres - Babina,4b,6 m
Dolina rogova,Cres - Babina,5c,9 m
Zeleni kamin,Cres - Babina,5a,9 m
?,Cres - Babina,6a+,14 m
Ploca Svetog Ivana,Cres - Babina,6b+,12 m
Mravlja pukotina,Cres - Babina,5c+,15 m
Pješcani klin,Cres - Babina,6a,15 m
?,Cres - Babina,6c+,15 m
Oštri pothvat,Cres - Babina,5b,12 m
?,Cres - Babina,5c/c+,12 m
?,Cres - Babina,6b,10 m
?,Cres - Babina,6b+,10 m
?,Cres - Babina,6a+,11 m
?,Cres - Babina,5b,11 m
Psiho rotirka,Cres - Babina,4c,12 m
Škofjeloška,Cres - Lubenice,6a+,18 m
Storžek,Cres - Lubenice,5a,15 m
Hrošček,Cres - Lubenice,4b,22 m
Žajla,Cres - Lubenice,5a,20 m
Sonjin smjerček,Cres - Lubenice,4b+,15 m
Kratko ali slatko,Cres - Lubenice,6a,10 m
Srcelomka,Cres - Lubenice,6b,18 m
Matimon,Cres - Lubenice,6b,18 m
Frane Petriča,Cres - Lubenice,6c+ (6c+/A0),22 m
Ljubljenice,Cres - Lubenice,5c,15 m
?,Cres - Lubenice,6b+,17 m
Železni carji,Cres - Lubenice,6b,15 m
Zima bochina,Dabarski kukovi,6b+ (6a, 5a, 6b+, 6a),120 m
Vamos a la plaja,Dabarski kukovi,6b+ (5b, 5c, 4b, 5a, 6b),140 m
Altweibersommer,Dabarski kukovi,5c (4b, 5a, 5b, 5c),120 m
Wild thing,Dabarski kukovi,7a (6c, 7a, 5b, 5a),100 m
Votan,Dabarski kukovi,6c+ (6c, 6b+, 6b+, 6c+),85 m
Tempo vulcan,Dabarski kukovi,6a (5c, 6a, 4b, 4a),120 m
Bibl und Bubl,Dabarski kukovi,5a+/b (5b, 5b, 5b),105 m
Umus,Dabarski kukovi,5b,60 m
Glivica,Dabarski kukovi,5c,60 m
Starter,Dabarski kukovi,4c (4b, 4c),65 m
La forza dell' ignoranza,Dabarski kukovi,6b (6b, 5b, 5b),105 m
Reunion,Dabarski kukovi,6c (6c, 5b, 4a),100 m
Colori d'autunno,Dabarski kukovi,6a+ (6a+, 5c, 6a, 3),120 m
Vipera,Dabarski kukovi,6c+ (6c+, 5a, 5c, 4c),120 m
Karaj,Dabarski kukovi,6c+/7a (6c+/7a, 6a, 5a),100 m
Velebit express,Dabarski kukovi,5b+/c (4c, 5b, 5a, 4c),120 m
Stanlio & Olio,Dabarski kukovi,6c+ (6b, 6c+, 6b+, 6a),120 m
Via Manuela,Dabarski kukovi,6b (6a, 6a, 6a, 6b, 5b, 4c),145 m
La figlia del Capitano,Dabarski kukovi,5c (5a, 5a, 5a, 5a, 5c),185 m
L'orecchio della Balena,Dabarski kukovi,7a+ (6a, 7a+, 6b, 6b),125 m
Stranger to the ground,Dabarski kukovi,6c+ (4c, 6c+, 6a, 6c/c+, 3),130 m
Ma Jo,Dabarski kukovi,6a/a+ (5c, 5c, 6a, 6a, 6a),150 m
Traumpfeiler,Dabarski kukovi,6b (6a, 6b, 6a+),95 m
Nasgull,Dabarski kukovi,7a (7a, 6c+, 6c),95 m
Attraverso l'arcobaleno,Dabarski kukovi,7a+ (2, 7a+, 6a, 5b, 6b, 4c),170 m
Singing in the rain,Dabarski kukovi,5c/c+ (3, 1, 5b, 5b+, 5c, 5b+),145 m
Marcella,Dabarski kukovi,6a (5b, 5c, 6a),95 m
Bovaaan!,Dabarski kukovi,6b+ (6b, 6b+, 6a+, 5c),100 m
Feuer & Eis,Dabarski kukovi,6a+ (5c+, 6a+),70 m
Schnuchalski,Dabarski kukovi,6a+,75 m
Nekega lepega dne,Dabarski kukovi,7a+ (6b, 7a+),75 m
Zahnlos,Dabarski kukovi,5c+,27 m
Kukident,Dabarski kukovi,4c/c+,27 m
Kleine Liebe,Dabarski kukovi,5a,27 m
Bärenauslese,Dabarski kukovi,5c+,27 m
Il trono di Plutone,Dabarski kukovi,6a (5c, 6a, 6a),150 m
Geierwally,Dabarski kukovi,6a+ (6a+, 6a),65 m
Cuba Libre,Dabarski kukovi,6a+ (6a, 6a+, 5a),90 m
Rolling Stones,Dabarski kukovi,5c (4a, 5b, 4b),80 m
Il risveglio dei Mascherini,Dabarski kukovi,5c (5c, 5b, 5b),95 m
Elvis,Dabarski kukovi,6b+ (6a+, 5c, 6b+),90 m
Lost in space,Dabarski kukovi,6c+ (5a, 6c+, 6a, 6c+, 6a),180 m
Tempus Vernum,Dabarski kukovi,6b (6b, 6a+, 1, 6b, 6a+, 5b),175 m
Konrad,Dabarski kukovi,6a (5b, 4b, 6a, 4c),170 m
Oscar and Sabrina,Dabarski kukovi,7a/a+(A0,Obl: 6b) (6a, 6c, 7a/a+, 6a, 5c, A0),180 m
La Golondrina,Dabarski kukovi,7a (6a, 7a, 6c+, 6b, 5b),190 m
Walking turtle,Dabarski kukovi,6c (6c, 6a+, 6b, 6a+, 5b),190 m
Eol,Dabarski kukovi,6b+ (4b, 6b+, 6a, 6a+),170 m
Jazbina,Dolina Raše - Zub,6b+,12 m
Brr,Dolina Raše - Zub,6a+,8 m
Samoća,Dolina Raše - Zub,6b,8 m
Priljepak,Dolina Raše - Zub,5c,8 m
U potrazi za grifom,Dolina Raše - Zub,6a,7 m
Na rubu istine,Dolina Raše - Zub,6c+,10 m
Sivi stil,Dolina Raše - Zub,5c,7 m
Ili,Dolina Raše - Zub,6a,7 m
Iz dosade,Dolina Raše - Zub,4c,7 m
Seaview Hvar,Drašnice,7a,30 m
Seaview Brač,Drašnice,6c+,32 m
Seaview Peljašac,Drašnice,6b,32 m
Kočići,Drašnice,6a+,27 m
Zavale,Drašnice,6a,25 m
Velika spila,Drašnice,7a,40 m
proj.,Drašnice,8a,20 m
Klokun,Drašnice,4a,15 m
Medvidine,Drašnice,4b,15 m
Apollo,Drašnice,6b,43 m
Zagon,Drašnice,6c+,43 m
Koromašina,Drašnice,6a,43 m
Kučerine,Drašnice,7a+,50 m
Rocket man,Drašnice,6b,20 m
Muflon,Drašnice,7a,30 m
Muflon extension,Drašnice,P,40 m
Stupica,Drašnice,7c,35 m
Strožac,Drašnice,6b,20 m
Strožac extension,Drašnice,7b,35 m
Praz (Sektor A/I),Dvigrad,5b,12 m
Poskok,Dvigrad,6a/a+,12 m
Hudu-gurus,Dvigrad,6b+,14 m
Smrikva,Dvigrad,4b/b+,11 m
Copata,Dvigrad,6b+,13 m
Pčelinje gnijezdo,Dvigrad,7a,13 m
X-files,Dvigrad,7a+,13 m
Šparoga bluz,Dvigrad,7c,11 m
Rattlesnakey Nik,Dvigrad,4b+/c,14 m
Raph Coral,Dvigrad,6a,14 m
Graža,Dvigrad,5a,14 m
Pašture,Dvigrad,6a,14 m
Keramička pločica,Dvigrad,6c+,14 m
Brombula,Dvigrad,4b,14 m
Hermine,Dvigrad,5a+,17 m
Anita,Dvigrad,5a,17 m
C.T.,Dvigrad,5c,13 m
Bolder,Dvigrad,7a+,14 m
Il buco del burioso,Dvigrad,6b/b+,14 m
Črišnja,Dvigrad,5a,15 m
Bevanda,Dvigrad,6c/c+,15 m
Kičma,Dvigrad,7b,15 m
Tavana,Dvigrad,7b,15 m
Šojka,Dvigrad,5a/a+,15 m
Kada,Dvigrad,6a,11 m
Parket,Dvigrad,6b+,11 m
Smrdoprd,Dvigrad,6c/c+,11 m
Rigokljun,Dvigrad,7b+,11 m
Šipak,Dvigrad,4b,11 m
Dub,Dvigrad,5c,15 m
La grigliata,Dvigrad,7b,22 m
Il clandestino,Dvigrad,7c,23 m
Malvazija,Dvigrad,8b+,23 m
What we gonna do with drunken climber,Dvigrad,8c,23 m
Pukotina,Dvigrad,6b/b+,20 m
Divlji prasac,Dvigrad,7b+,20 m
Lo gnomo,Dvigrad,6c+,20 m
La fattura,Dvigrad,7b,23 m
Camomila,Dvigrad,6b+,23 m
Il ritmo parlante,Dvigrad,7c,23 m
Falsa partenza,Dvigrad,7c,23 m
Otavarium,Dvigrad,8b,21 m
Dovevi pensarci prima,Dvigrad,7b+,23 m
Sjekira-Dular,Dvigrad,7a+/b,21 m
Relja,Dvigrad,6b+,17 m
Alergija,Dvigrad,5c,17 m
Smokvino mliko,Dvigrad,6b,17 m
Na parove razbroj,Dvigrad,7a,17 m
A rotati,Dvigrad,6a+,15 m
Vrana,Dvigrad,4c,15 m
Ambiciozna crta,Dvigrad,6b,8 m
Connection people,Dvigrad,7c,8 m
Priko drage,Dvigrad,6a,15 m
Otrovna kiša,Dvigrad,7a+,15 m
Ditarcuate.com,Dvigrad,7b+,10 m
Urlo,Dvigrad,6b+,10 m
Praz (Sektor A/III),Dvigrad,5c,10 m
Žvahača,Dvigrad,5c/c+,6 m
Cip & Cop,Dvigrad,6a+,11 m
Miš z mekinj,Dvigrad,6c,8 m
Skakavac,Dvigrad,5a,11 m
Gušter,Dvigrad,5b,10 m
Bukateta,Dvigrad,5a/a+,26 m
Rankun,Dvigrad,5c/c+,26 m
Spone,Dvigrad,5c,23 m
Črv,Dvigrad,5a/a+,16 m
V.I.M.,Dvigrad,6b,15 m
Nemoren,Dvigrad,5b/b+,6 m
Tizi,Dvigrad,5b+,10 m
Dodo,Dvigrad,5c/c+,10 m
Liso,Dvigrad,6b+,10 m
Duga,Dvigrad,6b+,11 m
Raumer,Dvigrad,6c,12 m
Biba,Dvigrad,6c,13 m
Logaritam,Dvigrad,7b,15 m
Šišmiš,Dvigrad,6b,15 m
Sonda,Dvigrad,7a,14 m
muntravo@net.hr,Dvigrad,7c,14 m
Makinja,Dvigrad,6b+,16 m
Noćna mora,Dvigrad,6c+,16 m
Riđovka,Dvigrad,6a,11 m
Drača,Dvigrad,6a/a+,11 m
Grab,Dvigrad,5b+/c,18 m
Bijeli glog,Dvigrad,5c,18 m
Crni glog,Dvigrad,5c/c+,18 m
Baršudba,Dvigrad,6a/a+,18 m
Prljava,Golubinjak,5b,20 m
Darling,Golubinjak,6b/b+,18 m
Darling - direkt,Golubinjak,7a,18 m
Biokill,Golubinjak,6c+,20 m
Mekong,Golubinjak,6c+,20 m
Bokassa,Golubinjak,7b,18 m
Orinoco,Golubinjak,6c/c+,18 m
Mandela's free,Golubinjak,6a/a+,18 m
Niagara,Golubinjak,6a,18 m
Magic from Cameroon,Golubinjak,6a/a+,17 m
Zambezi,Golubinjak,6c,27 m
Volga,Golubinjak,7a+,27 m
Wild side,Golubinjak,7b,22 m
Cody Maverick,Golubinjak,5c+/6a,15 m
